,name,Player_ID,MATCHUP,WL,FG3_PCT,FGM,FTM,MIN,REB,AST,PTS,BLK,STL
0,Bill Russel,78049,BOS @ LAL,W,,2,2,48,21,6.0,6,,
1,Bill Russel,78049,BOS vs. LAL,W,,3,3,48,19,2.0,9,,
2,Bill Russel,78049,BOS @ LAL,L,,3,1,48,13,5.0,7,,
3,Bill Russel,78049,BOS vs. LAL,W,,2,2,48,29,2.0,6,,
4,Bill Russel,78049,BOS vs. LAL,W,,5,1,48,18,3.0,11,,
5,Bill Russel,78049,BOS @ LAL,L,,4,1,48,21,13.0,9,,
6,Bill Russel,78049,BOS @ LAL,L,,6,4,48,27,5.0,16,,
7,Bill Russel,78049,BOS vs. NYK,W,,6,0,48,21,5.0,12,,
8,Bill Russel,78049,BOS @ NYK,L,,10,5,48,16,6.0,25,,
9,Bill Russel,78049,BOS vs. NYK,W,,9,3,48,23,3.0,21,,
10,Bill Russel,78049,BOS @ NYK,L,,6,4,48,20,8.0,16,,
11,Bill Russel,78049,BOS vs. NYK,W,,6,2,40,29,2.0,14,,
12,Bill Russel,78049,BOS @ NYK,W,,4,2,48,16,7.0,10,,
13,Bill Russel,78049,BOS @ PHL,W,,2,1,47,18,6.0,5,,
14,Bill Russel,78049,BOS vs. PHL,L,,5,4,48,29,5.0,14,,
15,Bill Russel,78049,BOS @ PHL,W,,2,5,41,18,8.0,9,,
16,Bill Russel,78049,BOS vs. PHL,W,,1,1,29,16,4.0,3,,
17,Bill Russel,78049,BOS @ PHL,W,,1,0,48,15,8.0,2,,
18,Bill Russel,78049,BOS @ LAL,W,,5,2,47,19,6.0,12,,
19,Bill Russel,78049,BOS vs. LAL,W,,8,6,53,25,5.0,22,,
20,Bill Russel,78049,BOS @ LAL,L,,2,7,48,22,6.0,11,,
21,Bill Russel,78049,BOS @ LAL,W,,9,7,48,16,9.0,25,,
22,Bill Russel,78049,BOS vs. LAL,L,,5,5,48,24,5.0,15,,
23,Bill Russel,78049,BOS vs. LAL,W,,5,9,48,25,3.0,19,,
24,Bill Russel,78049,BOS @ PHL,W,,4,4,48,26,5.0,12,,
25,Bill Russel,78049,BOS vs. PHL,W,,6,5,48,31,5.0,17,,
26,Bill Russel,78049,BOS @ PHL,W,,4,0,48,24,4.0,8,,
27,Bill Russel,78049,BOS vs. PHL,L,,9,6,48,24,3.0,24,,
28,Bill Russel,78049,BOS @ PHL,L,,4,5,39,20,3.0,13,,
29,Bill Russel,78049,BOS vs. PHL,L,,5,1,45,20,5.0,11,,
30,Bill Russel,78049,BOS @ PHL,W,,5,1,46,22,4.0,11,,
31,Bill Russel,78049,BOS @ DET,W,,6,3,47,23,9.0,15,,
32,Bill Russel,78049,BOS vs. DET,W,,4,3,48,21,7.0,11,,
33,Bill Russel,78049,BOS @ DET,W,,5,6,39,21,3.0,16,,
34,Bill Russel,78049,BOS vs. DET,L,,3,0,48,23,7.0,6,,
35,Bill Russel,78049,BOS @ DET,L,,4,3,35,14,1.0,11,,
36,Bill Russel,78049,BOS vs. DET,W,,6,3,38,34,9.0,15,,
37,Bill Russel,78049,BOS @ PHL,L,,2,0,42,21,7.0,4,,
38,Bill Russel,78049,BOS vs. PHL,W,,2,5,48,28,5.0,9,,
39,Bill Russel,78049,BOS @ PHL,L,,3,4,48,29,9.0,10,,
40,Bill Russel,78049,BOS vs. PHL,L,,5,4,48,24,5.0,14,,
41,Bill Russel,78049,BOS @ PHL,L,,7,6,42,15,4.0,20,,
42,Bill Russel,78049,BOS @ NYK,W,,1,2,28,16,2.0,4,,
43,Bill Russel,78049,BOS vs. NYK,L,,4,4,43,24,4.0,12,,
44,Bill Russel,78049,BOS @ NYK,W,,5,5,48,18,6.0,15,,
45,Bill Russel,78049,BOS vs. NYK,W,,2,3,43,23,8.0,7,,
46,Bill Russel,78049,BOS vs. LAL,W,,10,5,48,32,1.0,25,,
47,Bill Russel,78049,BOS @ LAL,L,,7,8,48,23,5.0,22,,
48,Bill Russel,78049,BOS vs. LAL,L,,13,6,48,28,4.0,32,,
49,Bill Russel,78049,BOS @ LAL,W,,9,7,48,18,4.0,25,,
50,Bill Russel,78049,BOS @ LAL,W,,5,4,48,19,3.0,14,,
51,Bill Russel,78049,BOS vs. LAL,W,,8,3,42,24,4.0,19,,
52,Bill Russel,78049,BOS vs. LAL,L,,12,4,53,26,5.0,28,,
53,Bill Russel,78049,BOS @ PHL,W,,6,6,48,31,6.0,18,,
54,Bill Russel,78049,BOS vs. PHL,W,,7,4,53,30,7.0,18,,
55,Bill Russel,78049,BOS @ PHL,L,,4,3,0,23,3.0,11,,
56,Bill Russel,78049,BOS vs. PHL,W,,3,4,0,29,9.0,10,,
57,Bill Russel,78049,BOS @ PHL,W,,5,3,0,18,3.0,13,,
58,Bill Russel,78049,BOS vs. CIN,W,,7,2,0,31,11.0,16,,
59,Bill Russel,78049,BOS @ CIN,W,,3,2,0,26,5.0,8,,
60,Bill Russel,78049,BOS vs. CIN,L,,5,8,0,25,4.0,18,,
61,Bill Russel,78049,BOS @ CIN,W,,11,3,0,16,7.0,25,,
62,Bill Russel,78049,BOS vs. CIN,L,,9,4,0,29,4.0,22,,
63,Bill Russel,78049,BOS vs. LAL,W,,6,10,42,30,4.0,22,,
64,Bill Russel,78049,BOS @ LAL,W,,4,4,48,23,5.0,12,,
65,Bill Russel,78049,BOS @ LAL,L,,6,2,45,19,4.0,14,,
66,Bill Russel,78049,BOS vs. LAL,W,,10,3,48,25,10.0,23,,
67,Bill Russel,78049,BOS vs. LAL,W,,7,4,38,28,6.0,18,,
68,Bill Russel,78049,BOS vs. PHL,W,,7,1,48,29,8.0,15,,
69,Bill Russel,78049,BOS @ PHL,L,,8,6,48,21,5.0,22,,
70,Bill Russel,78049,BOS vs. PHL,W,,4,4,48,28,7.0,12,,
71,Bill Russel,78049,BOS @ PHL,L,,8,2,52,25,8.0,18,,
72,Bill Russel,78049,BOS vs. PHL,W,,9,1,48,26,8.0,19,,
73,Bill Russel,78049,BOS @ PHL,L,,5,2,48,16,5.0,12,,
74,Bill Russel,78049,BOS vs. PHL,W,,5,1,48,32,6.0,11,,
75,Bill Russel,78049,BOS vs. SFW,W,,5,4,48,26,6.0,14,,
76,Bill Russel,78049,BOS @ SFW,W,,3,2,48,19,3.0,8,,
77,Bill Russel,78049,BOS @ SFW,L,,7,2,47,32,3.0,16,,
78,Bill Russel,78049,BOS vs. SFW,W,,4,1,39,24,9.0,9,,
79,Bill Russel,78049,BOS vs. SFW,W,,3,3,32,25,4.0,9,,
80,Bill Russel,78049,BOS vs. CIN,W,,7,6,47,35,7.0,20,,
81,Bill Russel,78049,BOS @ CIN,L,,1,7,48,24,1.0,9,,
82,Bill Russel,78049,BOS @ CIN,W,,9,4,48,28,3.0,22,,
83,Bill Russel,78049,BOS vs. CIN,W,,2,2,48,28,6.0,6,,
84,Bill Russel,78049,BOS vs. CIN,W,,6,6,46,31,2.0,18,,
85,Bill Russel,78049,BOS @ LAL,W,,5,2,48,24,9.0,12,,
86,Bill Russel,78049,BOS vs. LAL,L,,7,10,48,27,5.0,24,,
87,Bill Russel,78049,BOS @ LAL,W,,8,6,48,19,4.0,22,,
88,Bill Russel,78049,BOS @ LAL,L,,6,9,48,19,5.0,21,,
