,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,95,DeAndre' Bembry,SG,6-5,210,1994-07-04,US,3,Saint Joseph's
1,4,Charlie Brown,SG,6-6,199,1997-02-02,US,R,Saint Joseph's
2,15,Vince Carter,PF,6-6,220,1977-01-26,US,21,UNC
3,20,John Collins,PF,6-9,235,1997-09-23,US,2,Wake Forest
4,33,Allen Crabbe,SG,6-5,212,1992-04-09,US,6,California
5,14,Dewayne Dedmon,C,7-0,245,1989-08-12,US,6,USC
6,24,Bruno Fernando,C,6-9,240,1998-08-15,AO,R,Maryland
7,0,Brandon Goodwin,PG,6-0,180,1995-10-02,US,1,"Central Florida, Florida Gulf Coast"
8,2,Treveon Graham,SF,6-5,219,1993-10-28,US,3,VCU
9,3,Kevin Huerter,SG,6-7,190,1998-08-27,US,1,Maryland
10,12,De'Andre Hunter,SF,6-7,225,1997-12-02,US,R,Virginia
11,30,Damian Jones,C,6-11,245,1995-06-30,US,3,Vanderbilt
12,25,Alex Len,C,7-0,250,1993-06-16,UA,6,Maryland
13,5,Jabari Parker,PF,6-8,245,1995-03-15,US,5,Duke
14,31,Chandler Parsons,PF,6-9,230,1988-10-25,US,8,Florida
15,22,Cam Reddish,SF,6-8,218,1999-09-01,US,R,Duke
16,0,Jeff Teague,PG,6-3,195,1988-06-10,US,10,Wake Forest
17,1,Evan Turner,SG,6-6,220,1988-10-27,US,9,Ohio State
18,8,Tyrone Wallace,SG,6-5,198,1994-06-10,US,2,California
19,2,Paul Watson,SF,6-7,215,1994-12-30,US,R,Fresno State
20,11,Trae Young,PG,6-1,180,1998-09-19,US,1,Oklahoma
0,34,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR,6,
1,43,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,1,
2,17,Dragan Bender,C,7-0,225,1997-11-17,BA,3,
3,6,Eric Bledsoe,PG,6-1,214,1989-12-09,US,9,Kentucky
4,23,Sterling Brown,SF,6-5,219,1995-02-10,US,2,SMU
5,24,Pat Connaughton,SG,6-5,209,1993-01-06,US,4,Notre Dame
6,0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,1,Villanova
7,3,George Hill,PG,6-3,188,1986-05-04,US,11,IUPUI
8,7,Ersan Ä°lyasova,PF,6-9,235,1987-05-15,TR,11,
9,26,Kyle Korver,SF,6-7,212,1981-03-17,US,16,Creighton
10,11,Brook Lopez,C,7-0,282,1988-04-01,US,11,Stanford
11,42,Robin Lopez,C,7-0,281,1988-04-01,US,11,Stanford
12,15,Frank Mason,PG,5-11,190,1994-04-03,US,2,Kansas
13,9,Wesley Matthews,SG,6-4,220,1986-10-14,US,10,Marquette
14,22,Khris Middleton,SF,6-7,222,1991-08-12,US,7,Texas A&M
15,20,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
16,5,D.J. Wilson,PF,6-10,231,1996-02-19,US,2,Michigan
0,7,Jaylen Brown,SG,6-6,223,1996-10-24,US,3,California
1,4,Carsen Edwards,SG,5-11,200,1998-03-12,US,R,Purdue
2,99,Tacko Fall,C,7-5,311,1995-12-10,SN,R,Central Florida
3,43,Javonte Green,SG,6-4,205,1993-07-23,US,R,Radford
4,20,Gordon Hayward,SF,6-7,225,1990-03-23,US,9,Butler
5,11,Enes Kanter,C,6-10,250,1992-05-20,CH,8,
6,45,Romeo Langford,SG,6-4,216,1999-10-25,US,R,Indiana
7,37,Semi Ojeleye,PF,6-6,240,1994-12-05,US,2,"Duke, SMU"
8,77,Vincent Poirier,C,7-0,235,1993-10-17,FR,R,
9,36,Marcus Smart,SG,6-3,220,1994-03-06,US,5,Oklahoma State
10,0,Jayson Tatum,PF,6-8,210,1998-03-03,US,2,Duke
11,27,Daniel Theis,C,6-8,245,1992-04-04,DE,2,
12,8,Kemba Walker,PG,6-0,184,1990-05-08,US,8,UConn
13,9,Brad Wanamaker,PG,6-3,210,1989-07-25,US,1,Pitt
14,51,Tremont Waters,PG,5-10,175,1998-01-10,US,R,LSU
15,12,Grant Williams,PF,6-6,236,1998-11-30,US,R,Tennessee
16,44,Robert Williams,C,6-8,237,1997-10-17,US,1,Texas A&M
0,31,Jarrett Allen,C,6-11,243,1998-04-21,US,2,Texas
1,10,Justin Anderson,SG,6-6,230,1993-11-19,US,4,Virginia
2,21,Wilson Chandler,PF,6-8,235,1987-05-10,US,11,DePaul
3,4,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
4,33,Nicolas Claxton,C,6-11,215,1999-04-17,US,R,Georgia
5,1,Jamal Crawford,SG,6-5,185,1980-03-20,US,19,Michigan
6,8-26,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,5,Colorado
7,4,Henry Ellenson,C,6-10,240,1997-01-13,US,3,Marquette
8,45,Donta Hall,C,6-9,232,1997-08-07,US,R,Alabama
9,12,Joe Harris,SF,6-6,220,1991-09-06,US,5,Virginia
10,11,Kyrie Irving,PG,6-2,195,1992-03-23,AU,8,Duke
11,8,Tyler Johnson,SG,6-3,186,1992-05-07,US,5,Fresno State
12,6,DeAndre Jordan,C,6-11,265,1988-07-21,US,11,Texas A&M
13,00,Rodions Kurucs,PF,6-9,228,1998-02-05,LV,1,
14,22,Caris LeVert,SG,6-6,205,1994-08-25,US,3,Michigan
15,9,TimothÃ© Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,3,
16,0,Jeremiah Martin,PG,6-3,185,1996-06-19,US,R,Memphis
17,13,DÅ¾anan Musa,SF,6-9,217,1999-05-08,BA,1,
18,0,David Nwaba,SG,6-5,219,1993-01-14,US,3,Cal Poly
19,1,Theo Pinson,SG,6-5,212,1995-11-05,US,1,UNC
20,2,Taurean Prince,PF,6-7,218,1994-03-22,US,3,Baylor
21,10,Iman Shumpert,SF,6-5,215,1990-06-26,US,8,Georgia Tech
22,17,Garrett Temple,SG,6-5,195,1986-05-08,US,9,LSU
