,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,DeAndre' Bembry,SG,6-5,210,773280000000,US,3,Saint Joseph's
1,Charlie Brown,SG,6-6,199,854841600000,US,R,Saint Joseph's
2,Vince Carter,PF,6-6,220,223084800000,US,21,UNC
3,John Collins,PF,6-9,235,874972800000,US,2,Wake Forest
4,Bruno Fernando,C,6-9,240,903139200000,AO,R,Maryland
5,Brandon Goodwin,PG,6-0,180,812592000000,US,1,"Central Florida, Florida Gulf Coast"
6,Kevin Huerter,SG,6-7,190,904176000000,US,1,Maryland
7,De'Andre Hunter,SF,6-7,225,881020800000,US,R,Virginia
8,Damian Jones,C,6-11,245,804470400000,US,3,Vanderbilt
9,Chandler Parsons,PF,6-9,230,593740800000,US,8,Florida
10,Cam Reddish,SF,6-8,218,936144000000,US,R,Duke
11,Evan Turner,SG,6-6,220,593913600000,US,9,Ohio State
12,Tyrone Wallace,SG,6-5,198,771206400000,US,2,California
13,Trae Young,PG,6-1,180,906163200000,US,1,Oklahoma
14,Jaylen Brown,SG,6-6,223,846115200000,US,3,California
15,Carsen Edwards,SG,5-11,200,889660800000,US,R,Purdue
16,Tacko Fall,C,7-5,311,818553600000,SN,R,Central Florida
17,Javonte Green,SG,6-4,205,743385600000,US,R,Radford
18,Gordon Hayward,SF,6-7,225,638150400000,US,9,Butler
19,Enes Kanter,C,6-10,250,706320000000,CH,8,
20,Romeo Langford,SG,6-4,216,940809600000,US,R,Indiana
21,Semi Ojeleye,PF,6-6,240,786585600000,US,2,"Duke, SMU"
22,Vincent Poirier,C,7-0,235,750816000000,FR,R,
23,Marcus Smart,SG,6-3,220,762912000000,US,5,Oklahoma State
24,Jayson Tatum,PF,6-8,210,888883200000,US,2,Duke
25,Daniel Theis,C,6-8,245,702345600000,DE,2,
26,Kemba Walker,PG,6-0,184,642124800000,US,8,UConn
27,Brad Wanamaker,PG,6-3,210,617328000000,US,1,Pitt
28,Tremont Waters,PG,5-10,175,884390400000,US,R,LSU
29,Grant Williams,PF,6-6,236,912384000000,US,R,Tennessee
30,Robert Williams,C,6-8,237,877046400000,US,1,Texas A&M
31,Jarrett Allen,C,6-11,243,893116800000,US,2,Texas
32,Justin Anderson,SG,6-6,230,753667200000,US,4,Virginia
33,Wilson Chandler,PF,6-8,235,547603200000,US,11,DePaul
34,Nicolas Claxton,C,6-11,215,924307200000,US,R,Georgia
35,Jamal Crawford,SG,6-5,185,322358400000,US,19,Michigan
36,Spencer Dinwiddie,PG,6-5,215,734054400000,US,5,Colorado
37,Henry Ellenson,C,6-10,240,853113600000,US,3,Marquette
38,Joe Harris,SF,6-6,220,684115200000,US,5,Virginia
39,Kyrie Irving,PG,6-2,195,701308800000,AU,8,Duke
40,DeAndre Jordan,C,6-11,265,585446400000,US,11,Texas A&M
41,Rodions Kurucs,PF,6-9,228,886636800000,LV,1,
42,Caris LeVert,SG,6-6,205,777772800000,US,3,Michigan
43,TimothÃ© Luwawu-Cabarrot,SF,6-7,220,799977600000,FR,3,
44,Jeremiah Martin,PG,6-3,185,835142400000,US,R,Memphis
45,DÅ¾anan Musa,SF,6-9,217,926121600000,BA,1,
46,David Nwaba,SG,6-5,219,726969600000,US,3,Cal Poly
47,Theo Pinson,SG,6-5,212,815529600000,US,1,UNC
48,Taurean Prince,PF,6-7,218,764294400000,US,3,Baylor
49,Iman Shumpert,SF,6-5,215,646358400000,US,8,Georgia Tech
