,Unnamed: 0,name,Player_ID,MATCHUP,WL,FG3_PCT,FGM,FTM,MIN,REB,AST,PTS,BLK,STL
0,0,Bill Russel,78049,BOS @ LAL,W,0.0,2,2,48,21,6.0,6,0.0,0.0
1,1,Bill Russel,78049,BOS vs. LAL,W,0.0,3,3,48,19,2.0,9,0.0,0.0
2,2,Bill Russel,78049,BOS @ LAL,L,0.0,3,1,48,13,5.0,7,0.0,0.0
3,3,Bill Russel,78049,BOS vs. LAL,W,0.0,2,2,48,29,2.0,6,0.0,0.0
4,4,Bill Russel,78049,BOS vs. LAL,W,0.0,5,1,48,18,3.0,11,0.0,0.0
5,5,Bill Russel,78049,BOS @ LAL,L,0.0,4,1,48,21,13.0,9,0.0,0.0
6,6,Bill Russel,78049,BOS @ LAL,L,0.0,6,4,48,27,5.0,16,0.0,0.0
7,7,Bill Russel,78049,BOS vs. NYK,W,0.0,6,0,48,21,5.0,12,0.0,0.0
8,8,Bill Russel,78049,BOS @ NYK,L,0.0,10,5,48,16,6.0,25,0.0,0.0
9,9,Bill Russel,78049,BOS vs. NYK,W,0.0,9,3,48,23,3.0,21,0.0,0.0
10,10,Bill Russel,78049,BOS @ NYK,L,0.0,6,4,48,20,8.0,16,0.0,0.0
11,11,Bill Russel,78049,BOS vs. NYK,W,0.0,6,2,40,29,2.0,14,0.0,0.0
12,12,Bill Russel,78049,BOS @ NYK,W,0.0,4,2,48,16,7.0,10,0.0,0.0
13,13,Bill Russel,78049,BOS @ PHL,W,0.0,2,1,47,18,6.0,5,0.0,0.0
14,14,Bill Russel,78049,BOS vs. PHL,L,0.0,5,4,48,29,5.0,14,0.0,0.0
15,15,Bill Russel,78049,BOS @ PHL,W,0.0,2,5,41,18,8.0,9,0.0,0.0
16,16,Bill Russel,78049,BOS vs. PHL,W,0.0,1,1,29,16,4.0,3,0.0,0.0
17,17,Bill Russel,78049,BOS @ PHL,W,0.0,1,0,48,15,8.0,2,0.0,0.0
18,18,Bill Russel,78049,BOS @ LAL,W,0.0,5,2,47,19,6.0,12,0.0,0.0
19,19,Bill Russel,78049,BOS vs. LAL,W,0.0,8,6,53,25,5.0,22,0.0,0.0
20,20,Bill Russel,78049,BOS @ LAL,L,0.0,2,7,48,22,6.0,11,0.0,0.0
21,21,Bill Russel,78049,BOS @ LAL,W,0.0,9,7,48,16,9.0,25,0.0,0.0
22,22,Bill Russel,78049,BOS vs. LAL,L,0.0,5,5,48,24,5.0,15,0.0,0.0
