,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,DeAndre' Bembry,SG,6-5,210,1994-07-04,US,3,Saint Joseph's
1,Charlie Brown,SG,6-6,199,1997-02-02,US,R,Saint Joseph's
2,Vince Carter,PF,6-6,220,1977-01-26,US,21,UNC
3,John Collins,PF,6-9,235,1997-09-23,US,2,Wake Forest
4,Allen Crabbe,SG,6-5,212,1992-04-09,US,6,California
5,Dewayne Dedmon,C,7-0,245,1989-08-12,US,6,USC
6,Bruno Fernando,C,6-9,240,1998-08-15,AO,R,Maryland
7,Brandon Goodwin,PG,6-0,180,1995-10-02,US,1,"Central Florida, Florida Gulf Coast"
8,Treveon Graham,SF,6-5,219,1993-10-28,US,3,VCU
9,Kevin Huerter,SG,6-7,190,1998-08-27,US,1,Maryland
10,De'Andre Hunter,SF,6-7,225,1997-12-02,US,R,Virginia
11,Damian Jones,C,6-11,245,1995-06-30,US,3,Vanderbilt
12,Alex Len,C,7-0,250,1993-06-16,UA,6,Maryland
13,Jabari Parker,PF,6-8,245,1995-03-15,US,5,Duke
14,Chandler Parsons,PF,6-9,230,1988-10-25,US,8,Florida
15,Cam Reddish,SF,6-8,218,1999-09-01,US,R,Duke
16,Jeff Teague,PG,6-3,195,1988-06-10,US,10,Wake Forest
17,Evan Turner,SG,6-6,220,1988-10-27,US,9,Ohio State
18,Tyrone Wallace,SG,6-5,198,1994-06-10,US,2,California
19,Paul Watson,SF,6-7,215,1994-12-30,US,R,Fresno State
20,Trae Young,PG,6-1,180,1998-09-19,US,1,Oklahoma
21,Giannis Antetokounmpo,PF,6-11,242,1994-12-06,GR,6,
22,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,1,
23,Dragan Bender,C,7-0,225,1997-11-17,BA,3,
24,Eric Bledsoe,PG,6-1,214,1989-12-09,US,9,Kentucky
25,Sterling Brown,SF,6-5,219,1995-02-10,US,2,SMU
26,Pat Connaughton,SG,6-5,209,1993-01-06,US,4,Notre Dame
27,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,1,Villanova
28,George Hill,PG,6-3,188,1986-05-04,US,11,IUPUI
29,Ersan Ä°lyasova,PF,6-9,235,1987-05-15,TR,11,
30,Kyle Korver,SF,6-7,212,1981-03-17,US,16,Creighton
31,Brook Lopez,C,7-0,282,1988-04-01,US,11,Stanford
32,Robin Lopez,C,7-0,281,1988-04-01,US,11,Stanford
33,Frank Mason,PG,5-11,190,1994-04-03,US,2,Kansas
34,Wesley Matthews,SG,6-4,220,1986-10-14,US,10,Marquette
35,Khris Middleton,SF,6-7,222,1991-08-12,US,7,Texas A&M
36,Marvin Williams,PF,6-8,237,1986-06-19,US,14,UNC
37,D.J. Wilson,PF,6-10,231,1996-02-19,US,2,Michigan
38,Jaylen Brown,SG,6-6,223,1996-10-24,US,3,California
39,Carsen Edwards,SG,5-11,200,1998-03-12,US,R,Purdue
40,Tacko Fall,C,7-5,311,1995-12-10,SN,R,Central Florida
41,Javonte Green,SG,6-4,205,1993-07-23,US,R,Radford
42,Gordon Hayward,SF,6-7,225,1990-03-23,US,9,Butler
43,Enes Kanter,C,6-10,250,1992-05-20,CH,8,
44,Romeo Langford,SG,6-4,216,1999-10-25,US,R,Indiana
45,Semi Ojeleye,PF,6-6,240,1994-12-05,US,2,"Duke, SMU"
46,Vincent Poirier,C,7-0,235,1993-10-17,FR,R,
47,Marcus Smart,SG,6-3,220,1994-03-06,US,5,Oklahoma State
48,Jayson Tatum,PF,6-8,210,1998-03-03,US,2,Duke
49,Daniel Theis,C,6-8,245,1992-04-04,DE,2,
50,Kemba Walker,PG,6-0,184,1990-05-08,US,8,UConn
51,Brad Wanamaker,PG,6-3,210,1989-07-25,US,1,Pitt
52,Tremont Waters,PG,5-10,175,1998-01-10,US,R,LSU
53,Grant Williams,PF,6-6,236,1998-11-30,US,R,Tennessee
54,Robert Williams,C,6-8,237,1997-10-17,US,1,Texas A&M
55,Jarrett Allen,C,6-11,243,1998-04-21,US,2,Texas
56,Justin Anderson,SG,6-6,230,1993-11-19,US,4,Virginia
57,Wilson Chandler,PF,6-8,235,1987-05-10,US,11,DePaul
58,Chris Chiozza,PG,5-11,175,1995-11-21,US,1,Florida
59,Nicolas Claxton,C,6-11,215,1999-04-17,US,R,Georgia
60,Jamal Crawford,SG,6-5,185,1980-03-20,US,19,Michigan
61,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,5,Colorado
62,Henry Ellenson,C,6-10,240,1997-01-13,US,3,Marquette
63,Donta Hall,C,6-9,232,1997-08-07,US,R,Alabama
64,Joe Harris,SF,6-6,220,1991-09-06,US,5,Virginia
65,Kyrie Irving,PG,6-2,195,1992-03-23,AU,8,Duke
66,Tyler Johnson,SG,6-3,186,1992-05-07,US,5,Fresno State
67,DeAndre Jordan,C,6-11,265,1988-07-21,US,11,Texas A&M
68,Rodions Kurucs,PF,6-9,228,1998-02-05,LV,1,
69,Caris LeVert,SG,6-6,205,1994-08-25,US,3,Michigan
70,TimothÃ© Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,3,
71,Jeremiah Martin,PG,6-3,185,1996-06-19,US,R,Memphis
72,DÅ¾anan Musa,SF,6-9,217,1999-05-08,BA,1,
73,David Nwaba,SG,6-5,219,1993-01-14,US,3,Cal Poly
74,Theo Pinson,SG,6-5,212,1995-11-05,US,1,UNC
75,Taurean Prince,PF,6-7,218,1994-03-22,US,3,Baylor
76,Iman Shumpert,SF,6-5,215,1990-06-26,US,8,Georgia Tech
77,Garrett Temple,SG,6-5,195,1986-05-08,US,9,LSU
78,Lance Thomas,PF,6-8,240,1988-04-24,US,8,Duke
79,Ryan Arcidiacono,PG,6-3,195,1994-03-26,US,2,Villanova
80,Wendell Carter,C,6-9,270,1999-04-16,US,1,Duke
81,Kris Dunn,PG,6-3,205,1994-03-18,US,3,Providence
82,Cristiano FelÃ­cio,C,6-10,270,1992-07-07,BR,4,
83,Daniel Gafford,C,6-10,234,1998-10-01,US,R,Arkansas
84,Shaquille Harrison,SG,6-7,190,1993-10-06,US,2,Tulsa
85,Chandler Hutchison,SF,6-7,210,1996-04-26,US,1,Boise State
86,Luke Kornet,C,7-2,250,1995-07-15,US,2,Vanderbilt
87,Zach LaVine,SG,6-6,200,1995-03-10,US,5,UCLA
88,Lauri Markkanen,PF,7-0,240,1997-05-22,FI,2,Arizona
89,Adam Mokoka,SF,6-5,190,1998-07-18,FR,R,
90,Otto Porter,SF,6-8,198,1993-06-03,US,6,Georgetown
91,TomÃ¡Å¡ SatoranskÃ½,SG,6-7,210,1991-10-30,CZ,3,
92,Max Strus,SF,6-6,215,1996-03-28,US,R,"Lewis (IL), DePaul"
93,Denzel Valentine,SF,6-4,220,1993-11-16,US,2,Michigan State
94,Coby White,PG,6-4,195,2000-02-16,US,R,UNC
95,Thaddeus Young,PF,6-8,235,1988-06-21,US,12,Georgia Tech
96,Dwayne Bacon,SG,6-6,221,1995-08-30,US,2,Florida State
97,Nicolas Batum,SF,6-9,230,1988-12-14,FR,11,
98,Bismack Biyombo,C,6-8,255,1992-08-28,CD,8,
99,Miles Bridges,SF,6-6,225,1998-03-21,US,1,Michigan State
