,Year,Tm,Player,Age,G,MP,PER
0,1999,NJN,Gheorghe Muresan,27,1,1,-90.6
1,2016,IND,Shayne Whittington,24,1,2,-64.6
2,1979,DET,Ron Behagen,28,1,1,-60.3
3,2001,CLE,Larry Robinson,33,1,1,-54.4
4,2006,DEN,Nene Hilario,23,1,3,-54.4
5,1987,ATL,Michael Wilson,27,2,2,-49.6
6,2007,NJN,Mile Ilic,22,5,6,-48.6
7,1999,TOR,LaMark Baker,29,1,2,-46.6
8,1989,SEA,Mike Champion,24,2,4,-43.7
9,2015,UTA,Toure' Murry,25,1,1,-41.7
10,2007,LAC,Von Wafer,21,1,1,-40.7
11,2014,CHA,James Southerland,23,1,3,-40.6
12,1989,SAS,John Stroeder,30,1,2,-38.8
13,2010,CLE,Coby Karl,26,3,5,-38.1
14,1995,NJN,Yinka Dare,22,1,3,-33.9
15,1993,LAC,Alex Stivrins,30,1,1,-32.3
16,1986,PHI,Michael Young,25,2,2,-32.2
17,1986,DET,Ron Crevier,27,2,3,-31.9
18,1986,GSW,Ron Crevier,27,1,1,-31.1
19,1989,LAC,Barry Sumpter,23,1,1,-30.2
20,2013,BOS,Darko Milicic,27,1,5,-30.2
21,1978,CHI,Glenn Hansen,25,2,4,-28.8
22,2006,DEN,Charles Smith,30,1,2,-28.1
23,2003,ATL,Paul Shirley,25,2,5,-28.0
24,2010,BOS,Marcus Landry,24,1,3,-26.8
25,2016,WAS,DeJuan Blair,26,2,12,-26.5
26,2009,PHO,Courtney Sims,25,1,2,-26.0
27,2000,LAC,Mario Bennett,26,1,3,-25.5
28,2016,ORL,Andrew Nicholson,26,1,4,-25.2
29,2016,TOR,Delon Wright,23,2,5,-24.8
30,1988,DEN,Brad Wright,25,2,7,-24.7
31,1989,UTA,Eric White,23,1,2,-24.7
32,2000,CHH,Derek Hood,23,2,4,-24.2
33,2014,PHI,Darius Johnson-Odom,24,3,15,-23.0
34,2016,ATL,Shelvin Mack,25,1,8,-22.8
35,2015,DAL,Ricky Ledo,22,5,11,-22.5
36,1998,CHH,Michael McDonald,28,1,4,-22.1
37,2007,SAC,Vitaly Potapenko,31,3,13,-22.1
38,1990,MIN,Steve Johnson,32,4,17,-21.8
39,1982,MIL,Brad Holland,25,1,9,-21.5
40,2001,DEN,Garth Joseph,27,2,8,-21.3
41,2008,CLE,Demetris Nichols,23,3,14,-20.8
42,2003,NJN,Donny Marshall,30,3,6,-20.7
43,2007,MIL,Chris McCray,22,5,12,-20.7
44,2016,POR,Chris Kaman,33,1,4,-20.5
45,1990,PHI,Lewis Lloyd,30,2,10,-20.4
46,2004,POR,Slavko Vranes,21,1,3,-20.4
47,1987,DET,John Schweitz,26,3,7,-20.3
48,1989,PHO,Winston Crite,23,2,6,-20.3
49,1990,UTA,Jim Les,26,1,6,-20.2
50,1998,CHH,Jeff Grayer,32,1,11,-20.0
51,2001,DAL,Obinna Ekezie,25,4,8,-20.0
52,1997,MIL,Cuonzo Martin,25,3,13,-19.9
53,1995,SEA,Rich King,25,2,6,-19.8
54,2016,MIA,Josh Richardson,22,1,7,-19.8
55,1999,CLE,Litterial Green,28,1,2,-19.7
56,2015,PHI,Malcolm Lee,24,1,2,-19.7
57,1984,PHI,Charles Jones,26,1,3,-19.5
